batch,time
639,3917
640,3750
641,3958
642,3958
643,3875
644,3792
645,4792
646,3833
647,4000
648,4292
649,4292
650,4125
651,4084
652,3750
653,4709
654,3958
655,4084
656,3917
657,3958
658,3666
659,3834
660,4083
661,5083
662,4084
663,4000
664,3708
665,3875
666,3791
667,3708
668,3959
669,3666
670,5042
671,3750
672,4083
673,3875
674,4167
675,3750
676,3709
677,3917
678,4416
679,3875
680,4000
681,4375
682,4334
683,4042
684,3833
685,3708
686,4541
687,4417
688,3833
689,3750
690,4208
691,4000
692,4084
693,4083
694,4500
695,3958
696,3791
697,4625
698,4000
699,3667
700,4000
701,4084
702,4416
703,4042
704,3959
705,3834
706,4042
707,3792
708,4667
709,3958
710,3833
711,4459
712,3708
713,3791
714,3750
715,3708
716,4167
717,3959
718,3750
719,4291
720,4208
721,3709
722,3958
723,3791
724,4167
725,3875
726,3708
727,4709
728,3709
729,3750
730,3750
731,3959
732,3708
733,3708
734,3750
735,4709
736,3709
737,3708
738,3666
739,3792
740,3709
741,3708
742,4125
743,4416
744,4083
745,4167
746,3666
747,3709
748,4292
749,3708
750,3709
751,3875
752,4542
753,3875
754,3708
755,3708
756,4417
757,3834
758,4000
759,4042
760,4875
761,3833
762,4250
763,4000
764,4125
765,3958
766,4042
767,4167
768,4334
769,3959
770,3708
771,3833
772,3917
773,3708
774,3875
775,3750
776,4833
777,3834
778,4292
779,3708
780,3917
781,3958
782,3791
783,4000
784,4708
785,3834
786,4542
787,3958
788,3709
789,4125
790,3792
791,3958
792,4208
793,4291
794,4000
795,3958
796,3792
797,3917
798,3709
799,3750
800,3834
801,5417
802,4167
803,3917
804,3750
805,4125
806,3917
807,3833
808,3750
809,4417
810,3833
811,4042
812,3958
813,4458
814,3791
815,3875
816,5083
817,4375
818,3834
819,3917
820,4042
821,3792
822,3792
823,4125
824,4875
825,4667
826,3667
827,3875
828,3875
829,3792
830,3875
831,3750
832,3667
833,4208
834,3750
835,3833
836,3875
837,4042
838,3958
839,3708
840,4958
841,3792
842,4792
843,3667
844,3709
845,4000
846,3958
847,3791
848,4042
849,4041
850,4708
851,3709
852,4416
853,3875
854,3708
855,4084
856,3875
857,3666
858,4792
859,4125
860,3750
861,4083
862,4209
863,4750
864,3834
865,3833
866,4750
867,4041
868,4000
869,4375
870,4042
871,4291
872,4125
873,3708
874,4500
875,4084
876,4000
877,3959
878,4375
879,3959
880,3875
881,3792
882,3875
883,4583
884,4042
885,4042
886,3750
887,3709
888,3792
889,3792
890,3833
891,4834
892,4667
893,4000
894,4250
895,3959
896,4125
897,3917
898,3875
899,5083
900,3750
901,4084
902,4166
903,4000
904,3875
905,3917
906,4500
907,4625
908,3750
909,4209
910,3792
911,3875
912,4500
913,4958
914,3667
915,5417
916,4167
917,4708
918,4084
919,4250
920,4000
921,3916
922,4042
923,3958
924,4458
925,3792
926,3875
927,4042
928,3917
929,4084
930,3917
931,3917
932,5208
933,3791
934,3875
935,4250
936,4042
937,3958
938,3959
939,3917
940,4500
941,4209
942,3708
943,4458
944,4292
945,4125
946,4084
947,4167
948,4792
949,3792
950,3958
951,3875
952,3750
953,3709
954,4583
955,3708
956,4500
957,4125
958,4000
959,4167
960,4458
961,3958
962,4250
963,3875
964,4208
965,4250
966,3792
967,4375
968,4167
969,4084
970,4083
971,4000
972,3833
973,4459
974,3917
975,4167
976,3792
977,3917
978,3792
979,4041
980,4000
981,4542
982,3709
983,3792
984,4250
985,4042
986,3750
987,4292
988,3833
989,4875
990,3875
991,4250
992,3792
993,4042
994,4041
995,3750
996,3792
997,5000
998,4000
999,4292
1000,4125
1001,4041
1002,4084
1003,3916
1004,3834
1005,4250
1006,4500
1007,3875
1008,3709
1009,3750
1010,3750
1011,4917
1012,4167
1013,3833
1014,4833
1015,3750
1016,3708
1017,3791
1018,3709
1019,3792
1020,3792
1021,3750
1022,4667
1023,4083
1024,4000
1025,3708
1026,3667
1027,4750
1028,4000
1029,4125
1030,4917
1031,4417
1032,4584
1033,4084
1034,4500
1035,3792
1036,3792
1037,3791
1038,4666
1039,3834
1040,4542
1041,3791
1042,3708
1043,3917
1044,3875
1045,4041
1046,4500
1047,4042
1048,4208
1049,3875
1050,3708
1051,4333
1052,3709
1053,3958
1054,3917
1055,4333
1056,3791
1057,4125
1058,4250
1059,4292
1060,3875
1061,4375
1062,4334
1063,4667
1064,3917
1065,3959
1066,4375
1067,3834
1068,4125
1069,3834
1070,3709
1071,4917
1072,4041
1073,4291
1074,3792
1075,4417
1076,3750
1077,3959
1078,4042
1079,4458
1080,3959
1081,4292
1082,3708
1083,3709
1084,3875
1085,4000
1086,3917
1087,4375
1088,3791
1089,4083
1090,3958
1091,3833
1092,4125
1093,4000
1094,4709
1095,4042
1096,4709
1097,4000
1098,4083
1099,4125
1100,3917
1101,3750
1102,4250
1103,3791
1104,4542
1105,3750
1106,4084
1107,4167
1108,4209
1109,4292
1110,4417
1111,3958
1112,5000
1113,3709
1114,3708
1115,3750
1116,4208
1117,3750
1118,3792
1119,4041
1120,4625
1121,3834
1122,3875
1123,3750
1124,3708
1125,3916
1126,3666
1127,4209
1128,5000
1129,3709
1130,4000
1131,3917
1132,3875
1133,3917
1134,4459
1135,4000
1136,3792
1137,4583
1138,3916
1139,4250
1140,3875
1141,3708
1142,3792
1143,4083
1144,3958
1145,5458
1146,3750
1147,3708
1148,3875
1149,3875
1150,3917
1151,3958
1152,3792
1153,4708
1154,4084
1155,3959
1156,3875
1157,3917
1158,4125
1159,3834
1160,3917
1161,4542
1162,4000
1163,4125
1164,3833
1165,3875
1166,3750
1167,3875
1168,3875
1169,4625
1170,4000
1171,4292
1172,4833
1173,4208
1174,3792
1175,4417
1176,4208
1177,4042
1178,4167
1179,4334
1180,4042
1181,3667
1182,3958
1183,4375
1184,3792
1185,3875
1186,4875
1187,3750
1188,4166
1189,3750
1190,3791
1191,3709
1192,4333
1193,4333
1194,4333
1195,3791
1196,3875
1197,3833
1198,3709
1199,3708
1200,3833
1201,3834
1202,4333
1203,3750
1204,3709
1205,4083
1206,4042
1207,3917
1208,4084
1209,3750
1210,4458
1211,3791
1212,3750
1213,3750
1214,3875
1215,3917
1216,3708
1217,3875
1218,4167
1219,3959
